Code,Name,Currency,Market Cap,Price, Change,Change %
KEYS,KEYSTONE LAW GROUP PLC ORD 0.2P,GBX,183.96,583,3,0.52%
KGH,KNIGHTS GROUP HOLDINGS PLC ORD 0.2P,GBX,146.14,172,2,1.18%
KIST,KISTOS HOLDINGS PLC ORD GBP0.10,GBX,199.48,237.5,-2.5,-1.04%
KITW,KITWAVE GROUP PLC ORD GBP0.01,GBX,245.35,293,-,-
KMK,KROMEK GROUP PLC ORD 1P,GBX,77.96,11.75,-0.15,-1.26%
KOD,KODAL MINERALS PLC ORD 0.03125P,GBX,89.64,0.43,-0.01,-2.27%
KOO,KOOTH PLC ORD 5P,GBX,44.32,123,-,-
KP2,KORE POTASH PLC ORD USD0.001,GBX,181.16,3.5,-,-
KRM,KRM22 PLC ORD 10P,GBX,21.95,37,-,-
KRS,KERAS RESOURCES PLC ORD 1P,GBX,2.2,1.4,-,-
KZG,KAZERA GLOBAL PLC ORD 0.1P,GBX,12.69,1.15,-,-
LBG,LBG MEDIA PLC ORD GBP0.001,GBX,148.03,70.8,-,-
LDG,LOGISTICS DEVELOPMENT GROUP PLC ORD GBP0.01,GBX,62.69,15.15,-,-
LEND,SANCUS LENDING GROUP LIMITED ORD NPV,GBX,8.69,0.8,-,-
LEX,LEXINGTON GOLD LTD COM SHS USD0.003 (DI),GBX,17.77,3.75,-,-
LIKE,LIKEWISE GROUP PLC ORD GBP0.01,GBX,61.42,24.5,-,-
LINV,LENDINVEST PLC ORD 0.05P,GBX,46.4,32.5,-,-
LIT,LITIGATION CAPITAL MANAGEMENT LTD ORD NPV (DI),GBX,10.35,8.5,-0.18,-2.07%
LND,LANDORE RESOURCES LD ORD NPV,GBX,9.29,2.5,-,-
LORD,LORDS GROUP TRADING PLC ORD 0.5P,GBX,40.73,24.5,-,-
LPA,LPA GROUP PLC ORD 10P,GBX,7.57,56,-,-
LST,LIGHT SCIENCE TECHNOLOGIES HOLDINGS ORD 1P,GBX,12.32,3.7,-,-
LTHM,LATHAM(JAMES) PLC ORD 25P,GBX,223.78,"1,120.00",10,0.90%
MAB1,MORTGAGE ADVICE BUREAU (HLDGS) PLC ORD 0.1P,GBX,394.55,678,-2,-0.29%
MAC,MARECHALE CAPITAL PLC ORD 0.8P,GBX,2.81,2.3,-0.05,-2.13%
MAFL,MINERAL & FINANCIAL INVESTMENTS LD ORD 1P (DI),GBX,20.21,52,-,-
MAI,MAINTEL HOLDINGS PLC ORD 1P,GBX,20.82,145,-,-
MANO,MANOLETE PARTNERS PLC ORD 0.4P,GBX,26.29,58,-2,-3.33%
MATD,PETRO MATAD LD ORD USD0.01,GBX,22.31,1.2,-,-
MBH,MICHELMERSH BRICK HLDGS PLC ORD 20P,GBX,80.88,91.5,3.5,3.98%
MBO,MOBILITYONE LD ORD 2.5P,GBX,6.11,5.75,-,-
